Mass [m/z],Formula [M],Formula type,Species,CS [z],Polarity,Start [min],End [min],Comment
200.05920,,,,,Positive,,,
201.02410,,,,,Negative,,,
201.07640,,,,,Negative,,,
202.96940,,,,,Positive,,,
203.03180,,,,,Negative,,,
203.05220,,,,,Positive,,,
204.99480,,,,,Positive,,,
205.08550,,,,,Positive,,,
206.99140,,,,,Positive,,,
208.99050,,,,,Positive,,,
209.08040,,,,,Positive,,,
209.20120,,,,,Positive,,,
210.18490,,,,,Positive,,,
212.14350,,,,,Positive,,,
213.01450,,,,,Negative,,,
213.07640,,,,,Negative,,,
213.14910,,,,,Negative,,,
215.09210,,,,,Negative,,,
215.12560,,,,,Positive,,,
217.00260,,,,,Negative,,,
217.01840,,,,,Positive,,,
217.10460,,,,,Positive,,,
217.10770,,,,,Negative,,,
218.00600,,,,,Negative,,,
219.08960,,,,,Positive,,,
219.17500,,,,,Negative,,,
222.00470,,,,,Positive,,,
223.01960,,,,,Negative,,,
224.02340,,,,,Negative,,,
224.20020,,,,,Positive,,,
225.18546,,,,,Negative,,,
226.17990,,,,,Positive,,,
227.09200,,,,,Negative,,,
227.20111,,,,,Negative,,,
227.20130,,,,,Negative,,,
228.19560,,,,,Positive,,,
229.10780,,,,,Negative,,,
230.24760,,,,,Positive,,,
231.08720,,,,,Negative,,,
231.12010,,,,,Positive,,,
232.97520,,,,,Negative,,,
233.07780,,,,,Positive,,,
233.15430,,,,,Negative,,,
234.18490,,,,,Positive,,,
234.97570,,,,,Negative,,,
235.23780,,,,,Positive,,,
235.97340,,,,,Negative,,,
237.08280,,,,,Positive,,,
237.09130,,,,,Negative,,,
238.08610,,,,,Positive,,,
238.09400,,,,,Negative,,,
239.05940,,,,,Negative,,,
239.09330,,,,,Negative,,,
239.10600,,,,,Positive,,,
239.14700,,,,,Positive,,,
239.20111,,,,,Negative,,,
240.10860,,,,,Positive,,,
240.96940,,,,,Negative,,,
241.03530,,,,,Positive,,,
241.07140,,,,,Negative,,,
241.08340,,,,,Positive,,,
241.10790,,,,,Negative,,,
241.21676,,,,,Negative,,,
242.17590,,,,,Negative,,,
242.96630,,,,,Negative,,,
243.08740,,,,,Negative,,,
243.12340,,,,,Negative,,,
244.19010,,,,,Positive,,,
244.95380,,,,,Positive,,,
244.96500,,,,,Negative,,,
245.10290,,,,,Negative,,,
245.13570,,,,,Positive,,,
246.95080,,,,,Positive,,,
248.97400,,,,,Negative,,,
249.25330,,,,,Positive,,,
250.17750,,,,,Positive,,,
250.25640,,,,,Positive,,,
250.97590,,,,,Negative,,,
253.21676,,,,,Negative,,,
253.21720,,,,,Negative,,,
255.08740,,,,,Negative,,,
255.23241,,,,,Negative,,,
255.23280,,,,,Negative,,,
256.23630,,,,,Negative,,,
257.10310,,,,,Negative,,,
257.13920,,,,,Negative,,,
258.27870,,,,,Positive,,,
259.06490,,,,,Positive,,,
259.08260,,,,,Negative,,,
259.11860,,,,,Negative,,,
260.11680,,,,,Positive,,,
260.92750,,,,,Positive,,,
261.08740,,,,,Positive,,,
261.13060,,,,,Positive,,,
262.98070,,,,,Positive,,,
263.26890,,,,,Positive,,,
264.27210,,,,,Positive,,,
264.99180,,,,,Negative,,,
265.14790,,,,,Negative,,,
265.21676,,,,,Negative,,,
266.15110,,,,,Negative,,,
266.17410,,,,,Positive,,,
267.23241,,,,,Negative,,,
268.99800,,,,,Positive,,,
269.13750,,,,,Positive,,,
269.21250,,,,,Negative,,,
269.24806,,,,,Negative,,,
269.24860,,,,,Negative,,,
270.00140,,,,,Positive,,,
271.11890,,,,,Negative,,,
271.23070,,,,,Positive,,,
271.97240,,,,,Positive,,,
272.14940,,,,,Positive,,,
273.09830,,,,,Negative,,,
273.13440,,,,,Negative,,,
273.16710,,,,,Positive,,,
274.16500,,,,,Positive,,,
275.20111,,,,,Negative,,,
277.10500,,,,,Positive,,,
277.21676,,,,,Negative,,,
277.28460,,,,,Positive,,,
278.95470,,,,,Positive,,,
279.09170,,,,,Positive,,,
279.15860,,,,,Positive,,,
279.23241,,,,,Negative,,,
279.23310,,,,,Negative,,,
280.16170,,,,,Positive,,,
280.97870,,,,,Negative,,,
281.24806,,,,,Negative,,,
281.24860,,,,,Negative,,,
282.25190,,,,,Negative,,,
282.97640,,,,,Negative,,,
283.06930,,,,,Positive,,,
283.11880,,,,,Negative,,,
283.26371,,,,,Negative,,,
283.26430,,,,,Negative,,,
284.26770,,,,,Negative,,,
284.33050,,,,,Positive,,,
284.97170,,,,,Positive,,,
285.25150,,,,,Positive,,,
287.11370,,,,,Negative,,,
287.99490,,,,,Negative,,,
288.14970,,,,,Positive,,,
288.99610,,,,,Negative,,,
289.12950,,,,,Negative,,,
290.15970,,,,,Positive,,,
293.17900,,,,,Negative,,,
296.06560,,,,,Negative,,,
297.15350,,,,,Negative,,,
297.16520,,,,,Positive,,,
297.24310,,,,,Negative,,,
297.27936,,,,,Negative,,,
299.00610,,,,,Negative,,,
299.00850,,,,,Positive,,,
299.11370,,,,,Negative,,,
299.15000,,,,,Negative,,,
300.20380,,,,,Positive,,,
301.12910,,,,,Negative,,,
301.14050,,,,,Positive,,,
301.21676,,,,,Negative,,,
302.14410,,,,,Positive,,,
302.19640,,,,,Positive,,,
303.23241,,,,,Negative,,,
304.17540,,,,,Positive,,,
304.29950,,,,,Positive,,,
305.02320,,,,,Negative,,,
305.15680,,,,,Positive,,,
305.24806,,,,,Negative,,,
306.02650,,,,,Negative,,,
307.26371,,,,,Negative,,,
307.99770,,,,,Negative,,,
309.13060,,,,,Positive,,,
309.17460,,,,,Negative,,,
