Polarity,Time(min),mz,Area,Identification,mz Identification,MS/MS Sampled,Identified Lipid Feature,Redundant ID
+,0.025,448.29065,9602.28418,,,false,false,,
+,0.041,595.93243,17601.98142,,,true,false,,
+,0.041,346.22217,2166.131018,,,false,false,,
+,0.043,535.91119,6411.14997,,,false,false,,
+,0.045,537.87915,48740.66361,,,true,false,,
+,0.045,578.90576,10184.6453,,,true,false,,
+,0.051,436.34232,4052.036754,,,false,false,,
+,0.055,404.26422,7346.552779,,,false,false,,
-,0.162,311.29593,9277.99719,,,false,false,,
+,0.515,224.12787,29918.40815,,,true,false,,
+,0.521,369.0423,96664.04744,,,false,false,,
-,0.526,367.02814,220806.7373,,,false,false,,
+,0.527,355.06305,560649.8055,,,true,false,,
+,0.53,336.05267,43613.16453,,,false,false,,
-,0.531,353.04898,1300604.88,,,true,false,,
-,0.531,454.11142,95094.85213,,,true,false,,
+,0.531,715.06403,146863.288,,,true,false,,
+,0.531,819.07361,80440.99461,,,false,false,,
+,0.531,335.21689,10131.11066,,,false,false,,
+,0.533,383.22134,140643.6444,,,false,false,,
+,0.533,327.15872,30177.02488,,,false,false,,
-,0.534,256.06476,69168.35488,,,false,false,,
+,0.534,319.15363,31324.35625,,,false,false,,
+,0.534,329.13824,25552.28463,,,false,false,,
+,0.535,449.14847,128532.8926,,,false,false,,
+,0.535,257.11215,104136.8999,,,false,false,,
+,0.535,1194.09058,68389.03028,,,false,false,,
+,0.535,317.138,16267.43816,,,false,false,,
-,0.536,449.21832,118917.7605,,,false,false,,
-,0.536,333.10172,35473.55383,,,false,false,,
-,0.537,294.1348,42857.28562,,,false,false,,
+,0.537,301.14319,281873.3889,,,false,false,,
+,0.537,261.08679,85252.84509,,,false,false,,
-,0.538,355.22797,140838.5657,,,false,false,,
-,0.538,287.14008,45967.55444,,,false,false,,
+,0.538,456.12534,73070.73536,,,true,false,,
+,0.538,454.10974,27247.18631,,,false,false,,
+,0.538,613.43976,25168.72662,,,false,false,,
-,0.539,365.1622,32868.66323,,,false,false,,
-,0.539,297.13477,31940.5691,,,false,false,,
-,0.539,315.1087,9774.936036,,,false,false,,
+,0.539,367.13187,456948.3969,,,true,false,,
+,0.539,475.29694,138062.9913,,,false,false,,
+,0.539,249.11192,136492.783,,,false,false,,
+,0.539,474.29074,127264.2111,,,false,false,,
+,0.539,451.16473,61907.56814,,,false,false,,
-,0.54,261.14938,31206.86499,,,false,false,,
+,0.54,359.25781,141682.7256,,,false,false,,
+,0.54,300.1442,77784.71472,,,false,false,,
+,0.54,558.2851,34661.67383,,,false,false,,
+,0.54,405.22583,29495.73111,,,false,false,,
+,0.54,357.20529,23627.33141,,,false,false,,
+,0.541,385.2731,1039510.752,,,true,false,,
+,0.541,271.15363,61025.00618,,,false,false,,
+,0.541,277.14322,20278.28913,,,false,false,,
-,0.542,657.32697,46128.08183,,,false,false,,
-,0.542,265.10806,60015.87957,,,false,false,,
+,0.542,239.1058,430335.9699,,,false,false,,
+,0.542,606.28021,63521.68179,,,false,false,,
+,0.542,709.49829,25234.39072,,,false,false,,
-,0.543,421.22446,86252.4921,,,false,false,,
+,0.543,361.2731,1864598.675,,,true,false,,
+,0.543,395.16296,125053.3083,,,false,false,,
+,0.543,691.48792,27965.43604,,,false,false,,
+,0.543,579.26929,18690.99453,,,false,false,,
+,0.544,542.28766,231789.3352,,,true,false,,
+,0.544,566.28778,113306.704,,,false,false,,
+,0.544,230.1402,42633.22016,,,false,false,,
+,0.544,269.22614,41419.26984,,,false,false,,
+,0.544,343.15411,15939.26806,,,false,false,,
-,0.545,399.21747,180424.6482,,,true,false,,
-,0.545,325.16611,44278.30923,,,false,false,,
+,0.545,307.11063,113022.3132,,,false,false,,
+,0.545,598.25427,71230.81301,,,false,false,,
+,0.545,681.32117,29906.50948,,,false,false,,
-,0.546,555.27325,366476.6616,LysoPG 22:6,,true,true,false,
-,0.546,269.13937,60770.30029,,,false,false,,
-,0.546,449.15018,35741.23727,,,false,false,,
-,0.546,311.15048,49978.15834,,,false,false,,
+,0.546,560.29834,375110.722,,,true,false,,
