Retention Time (min),Quant Ion,Polarity,Identification,Lipid Class,Features Found,Filter Status
11.868,632.6001,-,Cer[NS] d17:1_24:1,Cer[NS],54,Redundant Identification
9.816,538.52112,-,Cer[NS] d18:0_16:0,Cer[NS],26,Redundant Identification
12.824,622.61554,-,Cer[NS] d18:0_22:0,Cer[NS],26,Redundant Identification
9.487,538.51947,+,Cer[NS] d18:1_16:0,Cer[NS],84,Redundant Identification
9.487,536.50531,-,Cer[NS] d18:1_16:0,Cer[NS],56,Redundant Identification
10.446,566.55078,+,Cer[NS] d18:1_18:0,Cer[NS],82,Redundant Identification
10.446,564.53693,-,Cer[NS] d18:1_18:0,Cer[NS],55,Redundant Identification
12.465,622.61383,+,Cer[NS] d18:1_22:0,Cer[NS],81,Redundant Identification
12.465,620.59961,-,Cer[NS] d18:1_22:0,Cer[NS],54,Redundant Identification
13.472,650.64496,+,Cer[NS] d18:1_24:0,Cer[NS],83,Redundant Identification
13.472,648.6308,-,Cer[NS] d18:1_24:0,Cer[NS],55,Redundant Identification
12.366,648.62933,+,Cer[NS] d18:1_24:1,Cer[NS],84,Redundant Identification
12.366,646.61542,-,Cer[NS] d18:1_24:1,Cer[NS],56,Redundant Identification
13.962,664.66144,+,Cer[NS] d18:1_25:0,Cer[NS],81,Redundant Identification
13.962,662.64673,-,Cer[NS] d18:1_25:0,Cer[NS],54,Redundant Identification
14.441,676.66187,-,Cer[NS] d18:1_26:0,Cer[NS],54,Redundant Identification
13.352,676.66101,+,Cer[NS] d18:1_26:1,Cer[NS],81,Redundant Identification
13.352,674.64642,-,Cer[NS] d18:1_26:1,Cer[NS],54,Redundant Identification
8.696,534.48938,-,Cer[NS] d18:2_16:0,Cer[NS],31,Redundant Identification
9.59,562.52032,-,Cer[NS] d18:2_18:0,Cer[NS],51,Redundant Identification
10.542,590.55255,-,Cer[NS] d18:2_20:0,Cer[NS],52,Redundant Identification
11.538,618.58411,-,Cer[NS] d18:2_22:0,Cer[NS],54,Redundant Identification
