Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M-H]-1,-1,375.25218,374.2449,0.885,0.128,4,6.902210331E7,26.5,F1
FALSE,[M-H]-1,-1,767.54848,766.5412,9.529,0.081,4,1.352556911E8,53.457,F1
FALSE,[M-H]-1,-1,745.56459,744.55731,10.477,0.093,5,1.137344528E8,47.696,F1
FALSE,[M-H]-1,-1,819.60078,818.59351,9.355,0.104,6,2.215894282E8,100.0,F1
FALSE,[M-H]-1,-1,501.28593,500.27866,1.176,0.077,5,8.263072756E7,48.309,F1
FALSE,[M-H]-1,-1,886.55873,885.55145,8.017,0.071,6,1.429086467E8,91.66,F1
FALSE,[M-H]-1,-1,743.54848,742.5412,9.606,0.088,5,7.268940577E7,47.907,F1
FALSE,[M-H]-1,-1,847.63246,846.62518,10.267,0.115,6,1.324313127E8,100.0,F1
FALSE,[M-H]-1,-1,791.54921,790.54193,9.248,0.085,3,7.849284254E7,63.234,F1
FALSE,[M-H]-1,-1,845.61586,844.60858,9.423,0.099,5,9.100070656E7,100.0,F1
FALSE,[M-H]-1,-1,717.53248,716.52521,9.568,0.087,5,4.284819687E7,47.554,F1
FALSE,[M-H]-1,-1,791.56874,790.56146,8.616,0.135,4,8.871215426E7,100.0,F1
FALSE,[M-H]-1,-1,789.55372,788.54645,9.096,0.302,2,6.693178411E7,100.0,F1
FALSE,[M-H]-1,-1,765.53255,764.52527,8.724,0.086,4,4.851358864E7,60.628,F1
FALSE,[M-H]-1,-1,525.28566,524.27838,1.13,0.068,3,3.25441923E7,46.804,F1
FALSE,[M-H]-1,-1,817.58443,816.57715,8.671,0.157,5,5.454294135E7,100.0,F1
FALSE,[M-H]-1,-1,723.52199,722.51471,9.048,0.074,4,3.235571112E7,55.978,F1
FALSE,[M-H]-1,-1,751.55379,750.54651,9.932,0.079,3,3.040067446E7,58.843,F1
FALSE,[M-H]-1,-1,739.51686,738.50958,8.657,0.083,4,3.691135954E7,100.0,F1
FALSE,[M-H]-1,-1,795.57997,794.57269,10.148,0.084,4,2.490168986E7,51.955,F1
FALSE,[M-H]-1,-1,529.31721,528.30994,1.634,0.077,4,2.394639219E7,50.52,F1
FALSE,[M-H]-1,-1,841.58467,840.57739,8.512,0.071,4,4.010875208E7,100.0,F1
FALSE,[M-H]-1,-1,884.54286,883.53558,7.47,0.06,6,4.087437017E7,90.978,F1
FALSE,[M-H]-1,-1,762.58992,761.58264,8.33,0.071,5,4.042790328E7,100.0,F1
FALSE,[M-H]-1,-1,792.55171,791.54443,9.294,0.062,2,3.955771262E7,100.0,F1
FALSE,[M-H]-1,-1,793.58327,792.57599,9.289,0.062,5,3.779714487E7,100.0,F1
FALSE,[M-H]-1,-1,765.55354,764.54626,8.451,0.066,4,3.623666087E7,100.0,F1
FALSE,[M-H]-1,-1,789.5323,788.52502,8.483,0.084,2,2.27183559E7,64.842,F1
FALSE,[M-H]-1,-1,749.53749,748.53021,9.083,0.099,3,2.084952244E7,59.896,F1
FALSE,[M-H]-1,-1,527.30134,526.29407,1.259,0.081,3,1.603607406E7,46.179,F1
FALSE,[M-H]-1,-1,835.53792,834.53064,8.094,0.174,3,2.031483447E7,59.729,F1
FALSE,[M-H]-1,-1,805.62111,804.61383,9.892,0.122,5,3.299562051E7,100.0,F1
FALSE,[M-H]-1,-1,776.55861,775.55133,8.855,0.069,5,2.833564699E7,100.0,F1
FALSE,[M-H]-1,-1,479.30141,478.29413,1.572,0.089,4,1.627428478E7,100.0,F1
FALSE,[M-H]-1,-1,839.56892,838.56165,8.755,0.457,2,2.085743631E7,100.0,F1
FALSE,[M-H]-1,-1,867.60011,866.59283,8.565,0.087,5,2.878108941E7,100.0,F1
FALSE,[M-H]-1,-1,872.70033,871.69305,11.143,0.099,5,2.830308987E7,100.0,F1
FALSE,[M-H]-1,-1,765.53291,764.52563,8.94,0.09,3,1.43062033E7,50.722,F1
FALSE,[M-H]-1,-1,793.56288,792.5556,9.836,0.076,3,1.286208105E7,46.09,F1
FALSE,[M-H]-1,-1,597.53419,596.52692,9.466,0.07,4,2.790249518E7,100.0,F1
FALSE,[M-H]-1,-1,707.64424,706.63696,12.357,0.092,5,2.783758864E7,100.0,F1
FALSE,[M-H]-1,-1,805.58467,804.57739,8.926,0.095,5,2.719026965E7,100.0,F1
FALSE,[M-H]-1,-1,284.27156,283.26428,6.46,0.064,4,2.649597633E7,100.0,F1
FALSE,[M-H]-1,-1,793.56288,792.5556,9.518,0.08,4,1.446935078E7,55.559,F1
FALSE,[M-H]-1,-1,751.55379,750.54651,9.671,0.072,3,1.414555442E7,55.007,F1
FALSE,[M-H]-1,-1,858.52772,857.52045,7.415,0.046,4,2.298580892E7,89.986,F1
FALSE,[M-H]-1,-1,888.57374,887.56647,8.537,0.078,4,2.537480532E7,100.0,F1
FALSE,[M-H]-1,-1,763.51753,762.51025,8.429,0.062,2,1.35658419E7,66.246,F1
FALSE,[M-H]-1,-1,1002.57149,1001.56421,1.183,0.064,5,1.061753649E7,46.592,F1
FALSE,[M-H]-1,-1,869.61549,868.60822,9.332,0.078,3,2.233947079E7,100.0,F1
FALSE,[M-H]-1,-1,865.5843,864.57703,8.269,0.085,3,2.160346827E7,100.0,F1
FALSE,[M-H]-1,-1,537.51271,536.50543,9.465,0.07,4,1.968674014E7,91.739,F1
FALSE,[M-H]-1,-1,792.57234,791.56506,8.53,0.084,2,2.065182481E7,100.0,F1
FALSE,[M-H]-1,-1,747.52229,746.51501,8.764,0.064,3,1.245404637E7,60.606,F1
FALSE,[M-H]-1,-1,709.6598,708.65253,13.455,0.087,5,2.049136264E7,100.0,F1
FALSE,[M-H]-1,-1,790.55623,789.54895,9.517,0.079,3,1.852886925E7,100.0,F1
FALSE,[M-H]-1,-1,833.61647,832.60919,9.797,0.101,5,1.848907829E7,100.0,F1
FALSE,[M-H]-1,-1,769.56392,768.55664,9.914,0.088,4,1.83515308E7,100.0,F1
FALSE,[M-H]-1,-1,821.61653,820.60925,10.205,0.079,5,1.804547079E7,100.0,F1
FALSE,[M-H]-1,-1,1426.98872,1425.98145,14.407,0.133,6,1.767529276E7,100.0,F1
FALSE,[M-H]-1,-1,701.53761,700.53033,9.998,0.083,2,8853112.043,50.434,F1
FALSE,[M-H]-1,-1,731.54835,730.54108,10.006,0.082,3,8524133.383,49.77,F1
FALSE,[M-H]-1,-1,769.56392,768.55664,10.22,0.077,4,1.709481311E7,100.0,F1
FALSE,[M-H]-1,-1,866.5113,865.50403,6.639,0.034,6,1.509316598E7,90.893,F1
FALSE,[M-H]-1,-1,825.55305,824.54578,8.312,0.056,4,1.602033931E7,95.905,F1
FALSE,[M-H]-1,-1,1400.97236,1399.96509,14.336,0.134,7,1.65652253E7,100.0,F1
FALSE,[M-H]-1,-1,715.5168,714.50952,8.765,0.101,2,8854667.614,54.229,F1
FALSE,[M-H]-1,-1,771.57832,770.57104,10.45,0.127,2,8305571.544,51.486,F1
FALSE,[M-H]-1,-1,743.54835,742.54108,9.727,0.087,2,1.581195282E7,100.0,F1
FALSE,[M-H]-1,-1,748.52687,747.51959,8.155,0.065,3,1.535184764E7,97.505,F1
FALSE,[M-H]-1,-1,647.623,646.61572,12.358,0.09,4,8448037.417,53.684,F1
FALSE,[M-H]-1,-1,873.64638,872.6391,10.248,0.135,5,1.574007602E7,100.0,F1
FALSE,[M-H]-1,-1,1429.00447,1427.99719,15.025,0.122,7,1.572055688E7,100.0,F1
FALSE,[M-H]-1,-1,761.5226,760.51532,8.276,0.219,2,1.091189282E7,100.0,F1
FALSE,[M-H]-1,-1,803.56947,802.56219,9.027,0.062,3,1.481924025E7,97.179,F1
FALSE,[M-H]-1,-1,779.58504,778.57776,10.586,0.08,3,7160445.183,47.217,F1
FALSE,[M-H]-1,-1,741.53261,740.52533,8.905,0.112,2,8193562.792,54.254,F1
FALSE,[M-H]-1,-1,794.58858,793.5813,9.288,0.063,4,1.488832483E7,100.0,F1
FALSE,[M-H]-1,-1,843.60017,842.5929,8.859,0.118,2,1.448057002E7,100.0,F1
FALSE,[M-H]-1,-1,869.61549,868.60822,9.081,0.133,2,1.397435695E7,100.0,F1
FALSE,[M-H]-1,-1,874.71577,873.7085,12.248,0.116,5,1.374141338E7,100.0,F1
FALSE,[M-H]-1,-1,893.61604,892.60876,9.065,0.076,3,1.356534803E7,100.0,F1
FALSE,[M-H]-1,-1,789.55372,788.54645,8.281,0.078,4,1.337984424E7,100.0,F1
FALSE,[M-H]-1,-1,837.55244,836.54517,8.266,0.181,2,8022293.239,100.0,F1
FALSE,[M-H]-1,-1,527.30147,526.29419,1.422,0.095,4,5590240.414,100.0,F1
FALSE,[M-H]-1,-1,499.27019,498.26291,0.963,0.056,5,5451269.454,41.838,F1
FALSE,[M-H]-1,-1,1579.17622,1578.16895,9.357,0.082,6,1.275098524E7,100.0,F1
FALSE,[M-H]-1,-1,891.5995,890.59222,8.321,0.099,5,1.269944103E7,100.0,F1
FALSE,[M-H]-1,-1,871.63161,870.62433,9.723,0.093,5,1.243517631E7,100.0,F1
FALSE,[M-H]-1,-1,787.53792,786.53064,8.452,0.438,2,9463220.982,100.0,F1
FALSE,[M-H]-1,-1,603.35396,602.34668,1.197,0.1,4,1.218162023E7,100.0,F1
FALSE,[M-H]-1,-1,839.56892,838.56165,7.903,0.246,2,1.210797131E7,100.0,F1
FALSE,[M-H]-1,-1,649.63807,648.6308,13.465,0.09,4,6106964.12,51.279,F1
FALSE,[M-H]-1,-1,775.55275,774.54547,9.622,0.069,2,6599116.603,57.752,F1
FALSE,[M-H]-1,-1,503.30168,502.2944,1.375,0.103,4,5154969.36,46.106,F1
FALSE,[M-H]-1,-1,789.5536,788.54633,7.948,0.124,3,1.098912037E7,100.0,F1
FALSE,[M-H]-1,-1,750.50496,749.49768,0.9,0.088,3,294594.967,3.005,F1
FALSE,[M-H]-1,-1,774.54249,773.53522,8.212,0.08,3,1.048917775E7,100.0,F1
FALSE,[M-H]-1,-1,715.5168,714.50952,8.879,0.087,2,5932685.005,54.487,F1
FALSE,[M-H]-1,-1,831.60054,830.59326,8.984,0.102,5,1.064584135E7,100.0,F1
FALSE,[M-H]-1,-1,777.56831,776.56104,9.917,0.079,3,6123661.821,57.933,F1
FALSE,[M-H]-1,-1,872.64076,871.63348,10.244,0.135,2,1.038644341E7,100.0,F1
FALSE,[M-H]-1,-1,683.59962,682.59235,12.36,0.097,5,1.022748972E7,100.0,F1
FALSE,[M-H]-1,-1,1455.01985,1454.01257,15.09,0.124,6,1.015575897E7,100.0,F1
