SPECTRUM - MS,
Top2_40ms.raw,
FTMS - c ESI Full ms [200.0000-1600.0000],
Scan #: 18,
RT: 0.11,
Data points: 760,
Mass,Intensity
201.024918,10444.94336
201.112976,1592.050903
203.022537,1439.108521
204.102554,7487.737305
205.122635,1287.529785
205.159515,2046.456177
207.138443,2390.725586
209.081528,1187.978394
209.117661,1242.553833
209.154007,1171.536621
211.097336,1798.799072
211.133652,2795.313721
213.014969,30497.87109
213.076599,8690.842773
213.112991,5833.503906
213.149109,11539.81445
213.185486,6289.988281
214.143921,1454.928223
215.009186,2167.716309
215.092148,10936.36133
215.12822,2883.468018
215.164444,1138.596924
216.853348,7919.951172
216.928391,1366.514038
217.002701,625347.3125
217.107651,6259.84082
217.853302,1225.049561
218.005951,38605.66797
218.366928,1277.153687
218.998779,2023.236328
219.006943,9354.191406
219.086304,1101.784668
219.138641,1118.367554
219.1754,1343.634766
220.995422,12501.97559
221.154221,6577.008301
223.028107,12574.99023
223.097183,1660.116455
224.027527,1566.755371
225.003708,2846.417236
225.07695,1317.721802
225.112732,6563.752441
225.149445,1462.724243
225.185883,2765.533936
227.092194,7451.125977
227.122772,1634.640503
227.128647,4676.964844
227.164963,6967.085449
227.201309,64404.53516
227.972824,2625.938721
228.159973,1124.56189
228.204559,11932.80078
229.107971,2397.386719
229.144226,1862.458618
229.181107,1479.601196
231.086868,8778.005859
231.164627,2083.916748
231.175125,1513.65625
232.665817,1527.994263
232.975128,17909.4707
233.154282,14958.89453
234.157974,2055.605713
234.913498,1893.091553
234.975723,6887.009766
235.097366,1262.606201
235.133713,1802.04895
235.973267,11515.60645
236.105438,2278.378174
236.948059,4856.706543
236.970688,1924.947754
237.222153,1270.68689
238.839432,1353.179321
238.891586,10052.05371
239.06752,4589.363281
239.092285,7974.413086
239.12851,1854.667725
239.201752,2559.151123
239.29277,1045.069824
240.907455,1136.398438
241.071533,1908.522583
241.108078,13434.76074
241.144363,2799.88208
241.181046,9119.735352
241.217239,36014.22266
241.989029,1371.598267
242.111603,1282.702637
242.176117,4693.330078
242.183517,2224.377686
242.22052,5995.526855
243.087357,6788.899414
243.123734,4434.839844
243.160446,1899.620728
243.196426,1757.400879
244.975647,1020.382263
245.103119,10768.02344
247.039139,1246.956909
247.082672,1241.956421
249.112885,1623.461304
249.149338,5789.903809
249.18631,1111.743164
250.856415,1352.749512
251.128891,1322.963257
251.201523,16311.41113
