SPECTRUM - MS,
Top2_40ms.raw,
FTMS - c ESI Full ms [200.0000-1600.0000],
Scan #: 6792,
RT: 28.17,
Data points: 909,
Mass,Intensity
201.024933,25454.96094
204.939789,6324.902344
205.123154,5287.326172
205.159149,5640.610352
209.078918,11489.83691
210.847549,9686.547852
210.85347,9259.366211
211.928802,36677.93359
213.01503,31817.46289
213.020798,5640.981445
213.149384,5481.57666
213.18541,8027.130371
213.926376,6185.493652
216.924561,4937.156738
217.002716,1448440.75
217.039047,200495.8125
217.075485,68326.3125
218.006104,83282.94531
218.042206,11393.35059
218.078751,6903.624512
218.99942,6787.108887
219.006714,7639.978027
219.175262,10764.14258
219.976944,8431.950195
220.146683,73090.83594
220.995758,37597.63672
221.154327,356328.625
222.157608,64269.71094
223.01973,72904.97656
223.028,11765.625
225.185303,5020.370605
226.217255,9826.946289
227.165344,5339.580078
227.201385,160008.4844
228.20459,10998.52344
229.097076,6096.717285
229.180344,6655.493652
231.164886,7479.231934
232.997635,8843.464844
233.154526,15260.6543
234.975632,15524.30273
235.121124,97772.46875
235.97348,336755.625
236.105209,166434.7656
236.124222,9137.226563
236.970734,5641.804199
236.976883,14444.70703
237.108505,30341.46094
238.839325,6807.345703
239.202377,5080.535156
240.969299,25604.23828
241.180771,11899.10547
241.217178,147958.2969
242.175797,7482.775879
242.220734,14537.85254
242.966446,15436.38086
244.965317,14170.98926
245.631378,5255.457031
249.086395,6201.619629
249.16272,35907.78125
250.144913,8427.606445
250.166061,6805.623535
251.09549,12913.25391
251.201492,10380.28125
253.141968,49576.47266
253.217346,197546.3438
254.220398,60288.73438
255.233002,3012382.5
255.306274,6178.916016
256.236298,473721.25
257.212585,6679.512207
257.23941,39744.86719
259.155151,5598.842773
259.335114,5573.501953
261.066925,25105.44531
264.159302,8263.738281
265.148102,1272714.625
266.151642,144113.7031
267.144562,46133.58984
267.151947,8278.013672
267.196594,11674.62793
267.233002,41597.70313
268.236359,8253.678711
269.212494,118118.4922
269.24881,199765.2813
270.207733,225325.9375
270.215851,13739.22363
270.252075,30354.10547
271.211365,32080.81836
271.227936,50108.73438
274.165924,7828.860352
274.181488,6747.431152
275.16922,9704.753906
276.161041,12169.56836
277.184448,142048.4688
277.217926,10668.28906
278.187744,10238.10742
279.163635,40274.29688
279.233124,278465.7188
280.236206,55130.70703
280.978668,53501.05078
281.174652,5984.604004
281.248779,1143172.125
281.334076,5564.94873
