Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M+H]+1,1,731.54717,732.55444,8.611,0.139,5,4.365469621E8,100.0,F1
FALSE,[M+H]+1,1,787.60973,788.617,10.267,0.117,6,4.720481795E8,100.0,F1
FALSE,[M+H]+1,1,785.59294,786.60022,9.415,0.11,5,3.681504505E8,100.0,F1
FALSE,[M+H]+1,1,375.25139,376.25867,0.87,0.13,5,2.695481738E8,79.727,F1
FALSE,[M+H]+1,1,760.58068,761.58795,9.353,0.11,5,3.231713594E8,100.0,F1
FALSE,[M+H]+1,1,757.56224,758.56952,8.616,0.119,4,1.822853276E8,100.0,F1
FALSE,[M+H]+1,1,767.54674,768.55402,9.53,0.079,4,1.177614715E8,46.543,F1
FALSE,[M+H]+1,1,745.56279,746.57007,10.476,0.094,6,1.24724473E8,52.304,F1
FALSE,[M+H]+1,1,733.56273,734.57001,9.287,0.07,5,1.840167668E8,100.0,F1
FALSE,[M+H]+1,1,705.53099,706.53827,8.449,0.067,6,1.72406286E8,100.0,F1
FALSE,[M+H]+1,1,501.28517,502.29245,1.177,0.077,5,8.877225848E7,52.182,F1
FALSE,[M+H]+1,1,781.5623,782.56958,8.514,0.075,5,1.671054498E8,100.0,F1
FALSE,[M+H]+1,1,745.59953,746.60681,9.883,0.121,5,1.562233513E8,100.0,F1
FALSE,[M+H]+1,1,886.55718,887.56445,8.017,0.065,5,1.300259767E7,8.34,F1
FALSE,[M+H]+1,1,743.54723,744.5545,9.607,0.086,4,7.904139278E7,52.093,F1
FALSE,[M+H]+1,1,702.5681,703.57538,8.33,0.077,5,1.435615479E8,100.0,F1
FALSE,[M+H]+1,1,745.56316,746.57043,8.926,0.095,5,1.265869776E8,100.0,F1
FALSE,[M+H]+1,1,731.54656,732.55383,8.506,0.06,3,1.256839992E8,100.0,F1
FALSE,[M+H]+1,1,791.5468,792.55408,9.24,0.068,3,4.563805279E7,36.766,F1
FALSE,[M+H]+1,1,807.5772,808.58447,8.573,0.072,5,1.219175659E8,100.0,F1
FALSE,[M+H]+1,1,535.60552,536.61279,15.928,0.121,5,1.18957126E8,100.0,F1
FALSE,[M+H]+1,1,875.7943,876.80157,17.478,0.118,5,1.157030053E8,100.0,F1
FALSE,[M+H]+1,1,729.53142,730.5387,7.996,0.179,2,1.126481494E8,100.0,F1
FALSE,[M+H]+1,1,591.6682,592.67548,18.144,0.097,5,1.013414872E8,100.0,F1
FALSE,[M+H]+1,1,805.56218,806.56946,8.259,0.107,3,9.12355415E7,100.0,F1
FALSE,[M+H]+1,1,717.53166,718.53894,9.568,0.088,4,4.725592115E7,52.446,F1
FALSE,[M+H]+1,1,757.56151,758.56879,8.716,0.088,2,8.926320669E7,100.0,F1
FALSE,[M+H]+1,1,543.33183,544.33911,1.183,0.101,5,8.88047099E7,100.0,F1
FALSE,[M+H]+1,1,789.55235,790.55963,9.142,0.201,2,2.354886957E7,100.0,F1
FALSE,[M+H]+1,1,785.59343,786.60071,9.551,0.091,2,8.251789532E7,100.0,F1
FALSE,[M+H]+1,1,809.593,810.60028,9.328,0.08,4,8.170267185E7,100.0,F1
FALSE,[M+H]+1,1,703.51488,704.52216,7.856,0.157,3,6.931690304E7,100.0,F1
FALSE,[M+H]+1,1,765.53093,766.53821,8.727,0.083,4,3.150462831E7,39.372,F1
FALSE,[M+H]+1,1,551.60069,552.60797,13.465,0.183,5,7.54236538E7,100.0,F1
FALSE,[M+H]+1,1,847.76323,848.77051,16.772,0.232,3,7.495272954E7,100.0,F1
FALSE,[M+H]+1,1,773.5941,774.60138,9.794,0.099,5,7.303552226E7,100.0,F1
FALSE,[M+H]+1,1,521.34807,522.35535,1.589,0.134,5,7.212506957E7,100.0,F1
FALSE,[M+H]+1,1,783.57762,784.5849,8.842,0.131,3,7.109495434E7,100.0,F1
FALSE,[M+H]+1,1,525.28514,526.29242,1.128,0.067,3,3.69883117E7,53.196,F1
FALSE,[M+H]+1,1,809.593,810.60028,9.08,0.145,2,6.906307782E7,100.0,F1
FALSE,[M+H]+1,1,901.80925,902.81653,17.453,0.143,3,6.890344396E7,100.0,F1
FALSE,[M+H]+1,1,729.53142,730.5387,8.277,0.087,3,6.72179823E7,100.0,F1
FALSE,[M+H]+1,1,331.32363,332.3309,3.423,0.125,4,6.667374464E7,100.0,F1
FALSE,[M+H]+1,1,812.67797,813.68524,11.144,0.099,4,6.499444978E7,100.0,F1
FALSE,[M+H]+1,1,813.62419,814.63147,10.245,0.13,4,6.49045629E7,100.0,F1
FALSE,[M+H]+1,1,607.66332,608.67059,15.611,0.19,5,6.445774634E7,100.0,F1
FALSE,[M+H]+1,1,831.57756,832.58484,8.324,0.105,5,5.865488855E7,100.0,F1
FALSE,[M+H]+1,1,723.52074,724.52802,9.046,0.076,4,2.544534215E7,44.022,F1
FALSE,[M+H]+1,1,873.77855,874.78583,16.789,0.171,3,5.599238045E7,100.0,F1
FALSE,[M+H]+1,1,563.63744,564.64471,17.083,0.115,5,5.496565761E7,100.0,F1
FALSE,[M+H]+1,1,849.7791,850.78638,17.498,0.109,5,5.387916709E7,100.0,F1
FALSE,[M+H]+1,1,903.82585,904.83313,18.185,0.112,5,5.327423606E7,100.0,F1
FALSE,[M+H]+1,1,755.5465,756.55377,8.264,0.202,2,5.262774272E7,100.0,F1
FALSE,[M+H]+1,1,751.55193,752.5592,9.932,0.083,3,2.126311398E7,41.157,F1
FALSE,[M+H]+1,1,739.51549,740.52277,8.676,0.066,4,1.478379426E7,100.0,F1
FALSE,[M+H]+1,1,811.60912,812.61639,9.722,0.097,5,5.112129391E7,100.0,F1
FALSE,[M+H]+1,1,833.59319,834.60046,9.062,0.077,3,4.992087603E7,100.0,F1
FALSE,[M+H]+1,1,626.5277,627.53497,8.017,0.062,5,4.984073602E7,100.0,F1
FALSE,[M+H]+1,1,662.44713,663.45441,9.547,0.066,5,4.848587867E7,100.0,F1
FALSE,[M+H]+1,1,795.57781,796.58508,10.144,0.077,4,2.302760841E7,48.045,F1
FALSE,[M+H]+1,1,529.31658,530.32385,1.639,0.075,5,2.345385818E7,49.48,F1
FALSE,[M+H]+1,1,771.57817,772.58545,8.988,0.108,4,4.513102643E7,100.0,F1
FALSE,[M+H]+1,1,884.54106,885.54834,7.471,0.06,5,4053231.574,9.022,F1
FALSE,[M+H]+1,1,897.77898,898.78625,16.536,0.077,4,4.430801623E7,100.0,F1
FALSE,[M+H]+1,1,779.54656,780.55383,8.013,0.072,2,4.217874356E7,100.0,F1
FALSE,[M+H]+1,1,783.57817,784.58545,8.74,0.087,3,4.185481977E7,100.0,F1
FALSE,[M+H]+1,1,877.81059,878.81787,18.219,0.095,5,4.131599379E7,100.0,F1
FALSE,[M+H]+1,1,495.33248,496.33975,1.424,0.092,5,4.069433105E7,100.0,F1
FALSE,[M+H]+1,1,717.56792,718.5752,9.16,0.111,5,3.838920599E7,100.0,F1
FALSE,[M+H]+1,1,767.58348,768.59076,8.997,0.071,4,3.769994672E7,100.0,F1
FALSE,[M+H]+1,1,923.79387,924.80115,16.508,0.127,3,3.763631385E7,100.0,F1
FALSE,[M+H]+1,1,719.5833,720.59058,9.863,0.091,5,3.715821575E7,100.0,F1
FALSE,[M+H]+1,1,779.54656,780.55383,7.887,0.137,3,3.691304371E7,100.0,F1
FALSE,[M+H]+1,1,719.54692,720.5542,8.864,0.073,5,3.633439678E7,100.0,F1
FALSE,[M+H]+1,1,835.60863,836.61591,9.123,0.107,5,3.605521127E7,100.0,F1
FALSE,[M+H]+1,1,789.53099,790.53827,8.474,0.077,4,1.231807296E7,35.158,F1
FALSE,[M+H]+1,1,749.53667,750.54395,9.081,0.105,2,1.502360393E7,43.811,F1
FALSE,[M+H]+1,1,527.30095,528.30823,1.262,0.083,5,1.902166153E7,55.92,F1
FALSE,[M+H]+1,1,835.53612,836.5434,8.09,0.202,2,1.381042323E7,51.799,F1
FALSE,[M+H]+1,1,303.29231,304.29959,1.968,0.102,4,3.326519721E7,100.0,F1
FALSE,[M+H]+1,1,579.63213,580.6394,14.573,0.175,5,3.316723244E7,100.0,F1
FALSE,[M+H]+1,1,807.57781,808.58508,8.774,0.099,3,3.154661008E7,100.0,F1
FALSE,[M+H]+1,1,837.62499,838.63226,9.955,0.088,5,3.01592007E7,100.0,F1
FALSE,[M+H]+1,1,793.5988,794.60608,9.021,0.083,4,3.008213988E7,100.0,F1
FALSE,[M+H]+1,1,776.55535,777.56262,8.815,0.064,2,1155186.576,100.0,F1
FALSE,[M+H]+1,1,479.30095,480.30823,1.571,0.091,4,1.771981329E7,61.213,F1
FALSE,[M+H]+1,1,839.56749,840.57477,8.814,0.202,3,8043249.496,100.0,F1
FALSE,[M+H]+1,1,507.57436,508.58163,14.66,0.115,5,2.876758352E7,100.0,F1
FALSE,[M+H]+1,1,765.53093,766.53821,8.939,0.095,4,1.43006902E7,100.0,F1
FALSE,[M+H]+1,1,567.3322,568.33948,1.132,0.091,4,2.800791513E7,100.0,F1
FALSE,[M+H]+1,1,493.31648,494.32376,1.103,0.09,4,2.794765259E7,100.0,F1
FALSE,[M+H]+1,1,793.56236,794.56964,9.835,0.074,5,1.504421304E7,53.91,F1
FALSE,[M+H]+1,1,677.49986,678.50714,7.694,0.057,5,2.682293207E7,100.0,F1
FALSE,[M+H]+1,1,717.53118,718.53845,8.165,0.109,4,2.646744768E7,100.0,F1
FALSE,[M+H]+1,1,793.56151,794.56879,9.519,0.078,3,1.157364403E7,44.441,F1
FALSE,[M+H]+1,1,762.59734,763.60461,10.204,0.085,4,2.599954205E7,100.0,F1
FALSE,[M+H]+1,1,755.5465,756.55377,8.047,0.195,2,2.591057122E7,100.0,F1
FALSE,[M+H]+1,1,700.55229,701.55957,7.602,0.058,5,2.571615638E7,100.0,F1
FALSE,[M+H]+1,1,751.55193,752.5592,9.67,0.072,3,1.157019035E7,44.993,F1
FALSE,[M+H]+1,1,731.54717,732.55444,8.82,0.088,2,2.565439603E7,100.0,F1
FALSE,[M+H]+1,1,433.30467,434.31195,0.89,0.138,4,2.555179621E7,100.0,F1
FALSE,[M+H]+1,1,858.52611,859.53339,7.414,0.046,5,2557820.334,10.014,F1
FALSE,[M+H]+1,1,495.33229,496.33957,1.562,0.083,2,2.54975993E7,100.0,F1
FALSE,[M+H]+1,1,888.57195,889.57922,8.527,0.061,2,685860.6525,2.922,F1
FALSE,[M+H]+1,1,523.56944,524.57672,12.315,0.161,5,2.494654598E7,100.0,F1
FALSE,[M+H]+1,1,814.69322,815.7005,12.248,0.111,5,2.493036609E7,100.0,F1
FALSE,[M+H]+1,1,763.51531,764.52258,8.422,0.064,4,1.115528899E7,46.2,F1
FALSE,[M+H]+1,1,771.61406,772.62134,9.939,0.114,3,2.381935884E7,100.0,F1
FALSE,[M+H]+1,1,636.2982,637.30548,4.327,0.322,5,2.375572471E7,100.0,F1
FALSE,[M+H]+1,1,730.59953,731.60681,9.24,0.067,3,2.346539866E7,100.0,F1
FALSE,[M+H]+1,1,392.27791,393.28519,0.894,0.106,4,2.334913577E7,100.0,F1
FALSE,[M+H]+1,1,753.53038,754.53766,7.792,0.077,5,2.330728635E7,100.0,F1
FALSE,[M+H]+1,1,747.5786,748.58588,9.58,0.103,5,2.319175888E7,100.0,F1
FALSE,[M+H]+1,1,815.64122,816.6485,11.211,0.136,6,2.308250475E7,100.0,F1
FALSE,[M+H]+1,1,674.53624,675.54352,7.475,0.048,5,2.307046534E7,100.0,F1
FALSE,[M+H]+1,1,949.80956,950.81683,16.63,0.428,2,2.293883651E7,100.0,F1
FALSE,[M+H]+1,1,1002.57054,1003.57782,1.185,0.064,5,1.244735273E7,54.612,F1
FALSE,[M+H]+1,1,799.60887,800.61615,9.8,0.113,4,2.247345318E7,100.0,F1
FALSE,[M+H]+1,1,773.63078,774.63806,10.881,0.121,6,2.236743684E7,100.0,F1
FALSE,[M+H]+1,1,811.60936,812.61664,9.579,0.088,3,2.232938925E7,100.0,F1
FALSE,[M+H]+1,1,880.74907,881.75635,17.473,0.153,4,2.214297893E7,100.0,F1
FALSE,[M+H]+1,1,803.54662,804.55389,7.667,0.14,2,2.172060831E7,100.0,F1
FALSE,[M+H]+1,1,720.4998,721.50708,9.544,0.07,5,2.165652546E7,100.0,F1
FALSE,[M+H]+1,1,895.76274,896.77002,15.786,0.226,3,2.161111068E7,100.0,F1
FALSE,[M+H]+1,1,537.51207,538.51935,9.466,0.059,3,1778056.965,8.522,F1
FALSE,[M+H]+1,1,925.80968,926.81696,17.073,0.134,3,2.144301263E7,100.0,F1
FALSE,[M+H]+1,1,743.54668,744.55396,8.325,0.245,4,2.138089848E7,100.0,F1
FALSE,[M+H]+1,1,703.51555,704.52283,8.035,0.076,2,2.138087457E7,100.0,F1
FALSE,[M+H]+1,1,821.74742,822.7547,16.745,0.103,5,2.112241639E7,100.0,F1
FALSE,[M+H]+1,1,869.74736,870.75464,15.737,0.285,3,2.106849148E7,100.0,F1
FALSE,[M+H]+1,1,795.61382,796.62109,9.881,0.086,4,2.07508265E7,100.0,F1
FALSE,[M+H]+1,1,747.5211,748.52838,8.765,0.065,3,8095149.976,39.394,F1
FALSE,[M+H]+1,1,781.56182,782.56909,8.379,0.234,2,2.029676609E7,100.0,F1
FALSE,[M+H]+1,1,727.5147,728.52197,7.743,0.143,2,1.998954854E7,100.0,F1
FALSE,[M+H]+1,1,809.593,810.60028,8.909,0.083,2,1.986961417E7,100.0,F1
FALSE,[M+H]+1,1,790.55535,791.56262,9.445,0.094,2,1175266.135,100.0,F1
FALSE,[M+H]+1,1,899.79473,900.802,16.908,0.166,3,1.96393684E7,100.0,F1
FALSE,[M+H]+1,1,359.35506,360.36234,5.11,0.098,4,1.888455223E7,100.0,F1
FALSE,[M+H]+1,1,921.77867,922.78595,16.153,0.106,4,1.838922707E7,100.0,F1
FALSE,[M+H]+1,1,476.3254,477.33267,1.796,0.279,2,1.822207568E7,100.0,F1
FALSE,[M+H]+1,1,773.59392,774.6012,9.649,0.11,2,1.817471009E7,100.0,F1
FALSE,[M+H]+1,1,929.84105,930.84833,18.155,0.137,4,1.784070922E7,100.0,F1
FALSE,[M+H]+1,1,871.7636,872.77087,16.316,0.342,2,1.767013097E7,100.0,F1
FALSE,[M+H]+1,1,701.53679,702.54407,10.001,0.087,2,8700744.545,49.566,F1
FALSE,[M+H]+1,1,786.66271,787.66998,11.23,0.095,5,1.750981717E7,100.0,F1
FALSE,[M+H]+1,1,925.80968,926.81696,17.275,0.114,3,1.721582792E7,100.0,F1
FALSE,[M+H]+1,1,731.54711,732.55438,10.013,0.085,3,8954849.07,53.969,F1
FALSE,[M+H]+1,1,866.50994,867.51721,6.635,0.051,4,1646001.425,9.853,F1
FALSE,[M+H]+1,1,825.55126,826.55853,8.309,0.077,2,684060.4571,4.095,F1
FALSE,[M+H]+1,1,811.60936,812.61664,10.02,0.083,4,1.667209277E7,100.0,F1
FALSE,[M+H]+1,1,747.61534,748.62262,10.834,0.094,5,1.635543802E7,100.0,F1
FALSE,[M+H]+1,1,715.51598,716.52325,8.766,0.094,2,7473595.094,45.771,F1
FALSE,[M+H]+1,1,653.32427,654.33154,4.32,0.361,4,1.625952076E7,100.0,F1
FALSE,[M+H]+1,1,835.60863,836.61591,9.313,0.097,3,1.613853194E7,100.0,F1
FALSE,[M+H]+1,1,771.57775,772.58502,10.452,0.1,4,8325182.661,51.9,F1
FALSE,[M+H]+1,1,743.58299,744.59027,9.187,0.095,3,1.599101893E7,100.0,F1
FALSE,[M+H]+1,1,833.59319,834.60046,8.577,0.091,4,1.587910436E7,100.0,F1
FALSE,[M+H]+1,1,748.52599,749.53326,8.16,0.054,2,438455.303,2.892,F1
FALSE,[M+H]+1,1,647.6223,648.62958,12.359,0.087,5,7380769.636,46.947,F1
FALSE,[M+H]+1,1,903.58348,904.59076,8.017,0.065,4,1.561034765E7,100.0,F1
FALSE,[M+H]+1,1,624.51177,625.51904,7.47,0.06,5,1.536605748E7,100.0,F1
FALSE,[M+H]+1,1,761.5208,762.52808,8.371,0.162,2,4595865.932,100.0,F1
FALSE,[M+H]+1,1,947.79381,948.80109,16.134,0.128,4,1.532579113E7,100.0,F1
FALSE,[M+H]+1,1,647.73113,648.7384,19.919,0.103,5,1.525818734E7,100.0,F1
FALSE,[M+H]+1,1,803.56804,804.57532,9.022,0.064,2,444230.9234,5.738,F1
FALSE,[M+H]+1,1,779.58403,780.59131,10.587,0.08,3,8004635.825,52.783,F1
FALSE,[M+H]+1,1,741.53099,742.53827,8.887,0.115,2,7093406.897,48.157,F1
FALSE,[M+H]+1,1,819.7318,820.73907,16.009,0.267,4,1.500898928E7,100.0,F1
FALSE,[M+H]+1,1,360.26598,361.27325,1.173,0.073,4,1.485210195E7,100.0,F1
FALSE,[M+H]+1,1,951.82536,952.83264,17.217,0.125,2,1.444288722E7,100.0,F1
FALSE,[M+H]+1,1,899.79479,900.80206,17.132,0.134,4,1.435466681E7,100.0,F1
FALSE,[M+H]+1,1,619.70043,620.7077,19.079,0.105,5,1.428881798E7,100.0,F1
FALSE,[M+H]+1,1,921.77837,922.78564,15.908,0.577,3,1.41332997E7,100.0,F1
FALSE,[M+H]+1,1,767.52989,768.53717,0.872,0.106,4,1.391455529E7,100.0,F1
FALSE,[M+H]+1,1,636.29869,637.30597,4.489,0.074,5,1.386019387E7,100.0,F1
FALSE,[M+H]+1,1,765.56706,766.57434,8.835,0.071,2,1.380771831E7,100.0,F1
FALSE,[M+H]+1,1,313.3344,314.34167,7.048,0.243,4,1.369279076E7,100.0,F1
FALSE,[M+H]+1,1,663.52049,664.52777,8.116,0.067,4,1.359735861E7,100.0,F1
FALSE,[M+H]+1,1,521.59044,522.59772,12.701,0.113,5,1.354191494E7,100.0,F1
FALSE,[M+H]+1,1,829.56212,830.5694,7.825,0.096,4,1.353560365E7,100.0,F1
FALSE,[M+H]+1,1,837.55083,838.55811,8.257,0.168,3,5384504.133,100.0,F1
FALSE,[M+H]+1,1,527.30101,528.30829,1.429,0.106,2,7264031.687,56.839,F1
FALSE,[M+H]+1,1,861.7791,862.78638,17.091,0.133,5,1.324215218E7,100.0,F1
FALSE,[M+H]+1,1,331.32363,332.3309,3.537,0.073,3,1.305031149E7,100.0,F1
FALSE,[M+H]+1,1,499.26933,500.27661,0.965,0.056,4,7578069.744,58.162,F1
FALSE,[M+H]+1,1,906.76433,907.77161,17.444,0.157,4,1.301753441E7,100.0,F1
FALSE,[M+H]+1,1,571.36376,572.37103,1.654,0.094,5,1.095203425E7,100.0,F1
FALSE,[M+H]+1,1,569.34795,570.35522,1.268,0.097,4,1.269590812E7,100.0,F1
FALSE,[M+H]+1,1,691.51543,692.52271,8.061,0.065,4,1.243789184E7,100.0,F1
FALSE,[M+H]+1,1,743.58354,744.59082,9.759,0.091,2,1.240707743E7,100.0,F1
FALSE,[M+H]+1,1,787.53703,788.54431,8.396,0.165,2,3216914.116,100.0,F1
FALSE,[M+H]+1,1,845.74767,846.75494,16.094,0.256,2,1.222917128E7,100.0,F1
FALSE,[M+H]+1,1,931.85729,932.86456,18.813,0.144,5,1.222857644E7,100.0,F1
FALSE,[M+H]+1,1,574.49657,575.50385,14.353,0.175,4,1.220350818E7,100.0,F1
FALSE,[M+H]+1,1,879.7105,880.71777,14.828,0.086,5,1.194919091E7,100.0,F1
FALSE,[M+H]+1,1,810.66033,811.6676,10.253,0.11,3,1.192982506E7,100.0,F1
FALSE,[M+H]+1,1,908.78069,909.78796,18.181,0.122,5,1.191796053E7,100.0,F1
FALSE,[M+H]+1,1,649.6375,650.64478,13.455,0.091,5,5824124.435,49.362,F1
FALSE,[M+H]+1,1,852.71788,853.72516,16.759,0.168,2,1.185285689E7,100.0,F1
FALSE,[M+H]+1,1,283.32396,284.33124,5.93,0.155,4,1.180026902E7,100.0,F1
FALSE,[M+H]+1,1,523.36431,524.37158,2.586,0.102,5,1.000133133E7,100.0,F1
FALSE,[M+H]+1,1,927.82622,928.8335,17.673,0.181,2,1.148980576E7,100.0,F1
FALSE,[M+H]+1,1,577.65294,578.66022,15.059,0.119,5,1.148772203E7,100.0,F1
FALSE,[M+H]+1,1,775.55211,776.55939,9.621,0.069,2,4827439.701,42.248,F1
FALSE,[M+H]+1,1,905.84227,906.84955,18.862,0.108,5,1.136544305E7,100.0,F1
FALSE,[M+H]+1,1,841.6563,842.66357,11.169,0.133,4,1.134469208E7,100.0,F1
FALSE,[M+H]+1,1,503.30052,504.3078,1.37,0.098,4,6025699.32,53.894,F1
FALSE,[M+H]+1,1,834.65904,835.66632,11.142,0.1,3,1.108322815E7,100.0,F1
FALSE,[M+H]+1,1,750.50347,751.51074,0.873,0.1,4,1.075883406E7,100.0,F1
FALSE,[M+H]+1,1,774.54149,775.54877,8.151,0.105,3,739367.8499,100.0,F1
FALSE,[M+H]+1,1,715.51543,716.52271,8.872,0.084,2,5019228.301,47.018,F1
FALSE,[M+H]+1,1,629.61193,630.6192,12.36,0.087,5,1.085023996E7,100.0,F1
FALSE,[M+H]+1,1,896.72301,897.73029,17.468,0.148,5,1.08442271E7,100.0,F1
FALSE,[M+H]+1,1,747.57848,748.58575,9.746,0.08,2,1.07648414E7,100.0,F1
FALSE,[M+H]+1,1,789.55235,790.55963,8.994,0.101,3,1.076268009E7,100.0,F1
FALSE,[M+H]+1,1,777.56749,778.57477,9.916,0.087,2,4693057.159,44.087,F1
FALSE,[M+H]+1,1,777.53093,778.53821,7.586,0.112,2,1.061710146E7,100.0,F1
FALSE,[M+H]+1,1,694.35088,695.35815,4.332,0.294,5,1.053919401E7,100.0,F1
FALSE,[M+H]+1,1,889.81005,890.81732,17.842,0.14,3,1.050300434E7,100.0,F1
FALSE,[M+H]+1,1,691.55235,692.55963,8.95,0.077,4,1.046324536E7,100.0,F1
FALSE,[M+H]+1,1,845.66222,846.66949,10.3,0.142,3,1.040636172E7,100.0,F1
FALSE,[M+H]+1,1,795.61406,796.62134,9.623,0.091,4,1.024011377E7,100.0,F1
FALSE,[M+H]+1,1,853.56206,854.56934,7.646,0.056,4,1.008134883E7,100.0,F1
FALSE,[M+H]+1,1,809.59325,810.60052,10.015,0.083,2,1.008062212E7,100.0,F1
