SPECTRUM - MS,
Top2_40ms.raw,
FTMS + c ESI Full ms [200.0000-1200.0000],
Scan #: 23,
RT: 0.16,
Data points: 1706,
Mass,Intensity
199.99884,1053.988403
200.237198,1120.064087
200.973679,145364.7344
201.091125,1071.975952
201.127396,1720.209961
201.97702,6029.943359
202.12265,1979.621582
203.006668,7883.475098
203.032349,1218.04834
203.106674,4448.405762
203.11795,1069.543335
204.007462,1842.063354
204.124237,1040.459106
204.138351,14485.5459
204.966553,2283.602295
205.048233,2282.983887
205.085938,1126.012451
205.108612,1238.151001
205.122299,6188.342285
205.169724,1157.25
206.117599,4857.416992
206.140167,1453.591675
206.1539,1579.822632
207.043564,1589.975952
207.101791,2614.240723
207.124023,6841.275391
207.13797,1831.640137
208.133133,4146.460938
209.117355,5811.758301
209.201187,28067.6543
210.043472,1079.077148
210.112595,8885.556641
210.204376,4648.237793
212.236938,1114.469604
213.113251,4383.717773
213.15947,1852.65686
214.089294,13216.93945
214.21637,1071.472778
214.252869,4694.087891
214.258789,1349.127441
214.953873,1246.644165
215.106384,1573.449829
215.143021,1317.692017
215.179565,1109.529663
216.138,1914.138184
217.104767,1323.664429
217.122314,6689.48584
217.13353,1983.627075
218.125824,1277.440308
218.153839,1440.718628
218.211212,2342.129883
218.984207,88508.90625
219.137726,4661.721191
219.17421,2612.615723
219.944077,1617.429565
219.987457,4578.313477
220.004532,6845.703125
220.133484,1798.365234
221.017273,1759.271851
221.116974,2586.77002
221.15358,1275.280762
222.112442,12143.61133
222.14888,5056.851074
222.977554,1411.523926
223.094864,1163.779053
223.11586,1597.837036
223.132828,2132.489502
224.128067,180045.5156
225.112183,2354.757568
225.12558,1253.405762
225.131485,24415.85156
225.148407,1112.479248
225.195953,9729.058594
226.02243,1277.423462
226.108276,1031.655762
226.132828,1130.318726
226.191116,1607.688965
226.199356,1206.286743
226.21582,1259.728638
227.106857,1711.353882
227.127686,1475.740967
228.104889,5377.14502
228.232117,54021.82031
229.048386,1389.289185
229.121887,1051.112427
229.235657,11324.01172
230.117706,1707.804077
230.139999,140499.6406
230.247711,33192.08594
231.101166,1377.260132
231.12413,2420.219971
231.137207,4924.592773
231.143158,18370.52734
231.174347,1265.744141
231.251022,6093.221191
232.132996,7124.541016
233.116974,5349.955566
233.153549,2470.23584
233.189987,2028.940063
233.915009,2394.036377
234.148911,10737.09863
234.899216,4549.145508
234.907822,5912.603027
234.956284,16766.54492
235.133179,2068.995605
235.169296,1820.573364
236.127838,1618.122803
236.167618,1102.319824
236.200775,1167.069458
236.956772,17863.62891
236.99469,2508.822754
237.110519,1820.808105
237.14856,2552.779053
237.184448,1355.993896
