SPECTRUM - MS,
Top2_40ms.raw,
FTMS + c ESI Full ms [200.0000-1200.0000],
Scan #: 6652,
RT: 27.37,
Data points: 1597,
Mass,Intensity
200.095993,4468.383301
204.940063,4149.877441
206.190811,2584.713867
208.133636,2219.039063
208.169998,3126.779785
208.205551,2194.470215
209.164597,2939.884766
209.201355,87115.63281
210.204666,17059.38672
211.012192,19447.27539
211.144562,2091.526855
211.216934,9773.032227
212.201004,11717.02441
213.0112,4634.908203
214.089188,10123.44727
214.180069,3024.854004
214.252975,11029.58691
214.270081,2692.203369
215.12558,13267.82324
217.104782,65367.78906
217.111115,33768.96094
217.194626,2594.397461
218.108154,3326.823242
218.153748,2596.050781
218.955231,5081.029785
219.029907,3796.369629
219.090668,4584.602051
219.126877,10384.92969
219.149185,2865.131104
219.174179,3069.577881
219.185638,3880.128418
220.169815,2926.778564
220.970947,20713.14844
221.084427,2309.381348
224.128235,2246.813721
224.175873,2150.44458
225.196274,5749.417969
225.232605,5238.061523
226.216553,5152.981934
226.252731,2360.328369
226.987946,18914.66211
227.026688,2951.745605
227.032654,3360.152588
227.200607,11235.58789
228.105072,211202.1563
228.23233,76672.78125
229.103348,4694.470215
229.109619,18949.54102
229.141129,3114.302246
229.149307,15536.11523
229.154938,2559.47583
229.235977,11474.13379
230.101654,4275.901855
230.140015,11684.29297
230.247894,149419.6563
231.251434,22123.17969
231.257111,2103.905762
233.189941,11642.23438
234.185364,74045.0625
235.12175,11311.21973
235.188629,13762.69727
237.926147,4372.601563
238.191757,3103.913574
239.248276,11965.88086
240.232239,634259.875
240.268829,24488.69727
241.177338,21564.32227
241.23555,96789.90625
241.272278,2552.686035
242.120636,42437.42578
242.175003,3433.568115
242.238663,3444.24292
242.247635,4373.68457
242.284409,21708.96875
243.211578,2786.766357
243.28717,2571.404785
244.072952,3253.741455
244.206116,3358.140625
244.954239,14491.46289
245.07756,2484.746582
245.226822,3719.779297
246.22142,3189.546387
246.950623,2281.271973
247.241913,3169.241455
248.164276,2791.151123
248.200699,2895.35083
249.157364,3047.941406
250.180206,4326.73291
251.046799,11906.39648
251.200546,12912.77148
252.231262,3529.850586
252.523636,3526.738281
253.191055,3005.263672
253.252686,3260.382813
253.263885,3229.979736
254.17276,13145.50586
254.211472,3356.296387
254.247696,11808.19629
255.058273,3993.620117
255.23175,4847.035645
256.136475,10444.7666
256.226898,3433.020996
256.256561,4395.78125
256.263458,70007.07031
256.299835,176784.8906
256.964233,21044.95117
257.172302,4942.269043
257.266815,14625.38965
257.303223,33364.24609
258.097748,30413.41406
258.170105,11653.1582
258.279144,159860.8438
259.128143,2398.68457
